name,original_price,special_price,specification,description,fragrance,top_notes,middle_notes,base_notes,detail_url
Armani Stronger With You Only 男性淡香水,"3,960","2,970",100ml,新鮮呈現原作。更輕盈、清新，但仍具有深度。,東方清新調,柚子,薰衣草、天竺葵,香草、板栗、勞丹脂,https://www.1976.com.tw/prod/22364
Dior Homme Parfum 男性香精,"4,250","3,850",50ml,重新創作演繹的Dior Homme香精，核心是鳶尾花香，運用鳶尾花柔和卻又強烈的特質，完美展現鳶尾花從根部到花朵的全貌，創作出層次豐富的香氣，很適合30歲以上穿,東方調,鳶尾花,琥珀,廣藿香、香根草,https://www.1976.com.tw/prod/22757
Hugo Boss Just Different 顛覆男性淡香水,"2,300","1,280",75ml 雪克杯瓶身,目前爲止我最喜歡的一款香水，熏苔的香味有白乳香的淡淡香味，同時香味持久，物超所值，是Boss系列款裏我最喜歡的一款。Boss在意大利的併購下依然保持了德國香水的尊貴，又不失去意大利香水的熱情，散發迷人的香水氣息。,草香清新調,薄荷、樟腦,小蒼蘭、羅勒、芫荽,廣藿香、喀什米爾香氛、勞丹脂、白乳香,https://www.1976.com.tw/prod/8906
Mercedes Benz Man Fresh 賓士天峰藍調男性淡香水(天空藍調),"2,500","1,250",50ml,Mercedes Benz Man Bright 賓士銀霧冰泉男性淡香水，新鮮、爽脆、令人愉悅。,茶香清新調 、 柑橘清新調,佛手柑、青蘋果、梨子,白茶、鼠尾草、雪松,癒創木、龍延香醚、麝香,https://www.1976.com.tw/prod/20644
Prada Luna Rossa Carbon 卓越勁黑男性淡香水迷你瓶,500,439,9ml,Prada 卓越勁黑男性淡香水以礦物為發想，它優雅而誘人心弦。,柑苔調,佛手柑、柑橘、胡椒,薰衣草、濕土、岩石、金屬、水感元素,廣藿香、琥珀木質調,https://www.1976.com.tw/prod/15147
Burberry Brit for Him 風格男性淡香水,"2,400","1,150",50ml 新包裝,很舒服優雅的香氣！雖然屬於木質東方調，但在辛香料的使用上不會過於厚重，反而整體氛圍主要由玫瑰與雪松主導，可以提升個人的氣質與親和力，而擴香能力較為一般，並不會讓人很容易意識到香氣的存在，但也與它塑造的溫和氣質相當契合，行程獨特的陽剛風格。,木質東方調,綠柑橘、薑、佛手柑、霜凍豆蔻,野玫瑰、肉豆蔻、雪松,東方木材、頓加豆、灰麝香,https://www.1976.com.tw/prod/2523
Emporio Armani Stronger With You Intensely 男性淡香精,"3,240","2,480",50ml,,木質東方調,粉紅胡椒、杜松、紫羅蘭,薰衣草、鼠尾草、太妃糖、肉桂,琥珀、頓加豆、香草、絨面革,https://www.1976.com.tw/prod/17510
John Varvatos Artisan 工匠藤編淡香水,"2,050",780,40ml 效期2025.08,清爽、清新的花香適合男女性，睡前噴一點感覺很助眠，當初於專櫃陪同室友盲測工匠純淨、blu還有藤編時，我們三個人瞬間且一致都選擇了藤編，非常舒服自然，真的要說缺點的話大概是不太持香，而且無法很輕易地確認香水剩餘容量。但仍舊非常推薦，價格還算親民且容量很大，每天噴都完全沒問題。拿來送禮我也覺得很適合，應該很難有人不喜歡它的香氣。,木質清新調,西西里島柑橘、柚果實、墨西哥橘子、百里香、西班牙馬鬱蘭、希臘薰衣草,北非洲橙花、印度九里香、茉莉、生薑,木質香、琥珀、麝香,https://www.1976.com.tw/prod/8316
Mercedes Benz Man Fresh 賓士天峰藍調男性淡香水 TESTER,"3,250","1,350",100ml 原廠環保紙盒包裝，無瓶蓋,Mercedes Benz Man Bright 賓士銀霧冰泉男性淡香水，新鮮、爽脆、令人愉悅。,茶香清新調 、 柑橘清新調,佛手柑、青蘋果、梨子,白茶、鼠尾草、雪松,癒創木、龍延香醚、麝香,https://www.1976.com.tw/prod/19290
Dior Homme Parfum 男性香精迷你瓶,"1,500",550,7.5ml 抹式,以前的花花公子變成一個愛家溫柔的好男人，現在這款香水很適合已婚男人，它的味道會給另一半滿滿的安全感！,東方調,鳶尾花,琥珀,廣藿香、香根草,https://www.1976.com.tw/prod/22464
Issey Miyake NUIT 三宅一生一生之水月夜男性淡香水,"2,600","1,650",75ml,第一次噴上他的香水真的覺得普通，過了沒多久開始讚嘆甚至驚艷，一場華麗的表演秀，老實說這瓶我真的非常非常有嚇到，他真的是我買過最特別的一罐！,木質東方調,佛手柑、葡萄柚,皮革、黑胡椒、樹木、香根,黑木材、天竺薄荷、薰草豆,https://www.1976.com.tw/prod/12058
Prada Luna Rossa Black 卓越至黑男性淡香精,"3,850","2,699",50ml,完全不透明的香水瓶，原本亮眼的 PRADA 指標 色染上至高無上的黑， PRADA 商標以脫穎而出的白 展現。黑色玻璃瓶與底部如夜晚的河流般漆黑而閃耀。,木質調,佛手柑,白芷、廣藿香,麝香、琥珀、香豆精,https://www.1976.com.tw/prod/16367
Police To Be King 國王男性淡香水,"2,280","1,000",125ml,太喜歡這個瓶身，所以抱持著就算不好聞放著當擺飾也很有型的心態買下，結果出乎意料的好聞，是瓶表裡如一的香水。喜歡檸檬味的前調有汽水般的清涼感，帶著花草香的木質調中後味讓我聯想到魔戒裡的艾隆王......,木質調 、 辛辣調,肉豆蔻、荳蔻果實、西西里檸檬,琥珀木、喀什米爾木、薰衣草,廣藿香、檀香木、香根草,https://www.1976.com.tw/prod/11980
Montblanc Legend Night 萬寶龍傳奇紳夜男性淡香精,"3,400","1,699",100ml,一直都買這系列的香水送給男友，男友也很喜歡，佛手柑帶點木質調的香味，给人沉穩的感覺，搭配薰衣草、雪松，又多加了一點從容不迫的安心感。,木質調 、 辛辣調,佛手柑、鼠尾草、薄荷、豆蔻,雪松、薰衣草、紫羅蘭蘋果、冷衫樹脂,香根草、黑香草、廣藿香、麝香,https://www.1976.com.tw/prod/15537
Mercedes Benz Man Bright 賓士銀霧冰泉男性淡香精,"3,450","1,590",100ml,薄荷和胡椒，會讓你覺得一開始如同直率的小男孩，很陽光開朗但又很衝，有如賓士的個性，低調太難! 不過中後的味道以一股乳香柔和散播，又是熟悉的賓士安全感,草香清新調 、 東方清新調,佛手柑、薄荷、粉紅胡椒,薰衣草、乳香,零陵香豆、雪松、廣藿香,https://www.1976.com.tw/prod/19289
Issey Miyake NUIT 三宅一生一生之水月夜男性淡香水 TESTER(絕版珍藏品),"3,600","1,580",125ml 原廠環保紙盒包裝，有瓶蓋,我覺得讓我感覺像是一種很端莊的味道，不過到了後味就變得有點甜甜的，香味非常的持久至少有8~10小時。,木質東方調,佛手柑、葡萄柚,皮革、黑胡椒、樹木、香根,黑木材、天竺薄荷、薰草豆,https://www.1976.com.tw/prod/12570
Police To Be King 國王男性淡香水 TESTER,"2,280",880,125ml 原廠環保紙盒包裝，內容與正貨相同,一開始是被造型吸引的，但是實際使用後，發現Police To Be King不只有好看的外表。正如其名，KING的味道， 像是一個溫和的紳士、和善的國王。沒有辛辣的木味，經過調配後，木質以偏向溫暖沉穩的方式呈現。 濃度也是恰到好處!不會過於濃烈。也沒有因為木質感而感到老氣。非常耐聞的味道!,木質調 、 辛辣調,肉豆蔻、荳蔻果實、西西里檸檬,琥珀木、喀什米爾木、薰衣草,廣藿香、檀香木、香根草,https://www.1976.com.tw/prod/13016
MONTBLANC Legend Night 萬寶龍傳奇紳夜男性淡香精 TESTER,"3,400","1,250",100ml原廠環保紙盒包裝，有瓶蓋,前味是有質感甜甜的香味，充滿神秘與誘惑感，只要聞到就會讓人覺得你是一位優雅的紳士。,木質調 、 辛辣調,佛手柑、鼠尾草、薄荷、豆蔻,雪松、薰衣草、紫羅蘭蘋果、冷衫樹脂,香根草、黑香草、廣藿香、麝香,https://www.1976.com.tw/prod/15678
【身體系列】Acca Kappa 白麝香體香噴霧,"1,080",860,125ml,淡淡的清香味，另人神清氣爽，不會太濃太高調的味道，洗完澡噴上一些讓人很安心也很放鬆，很值得推薦~,柑苔調,,,,https://www.1976.com.tw/prod/8760
Paco Rabanne One Million PARFUM 百萬極致男性香精,"4,480","3,099",100ml 新包裝,"金光閃閃的金條造型瓶身，
承襲百萬系列男香奢華風格之外，
更加濃郁的「報復性」極致誘惑要你加倍自信，強勢回歸！",晚香玉、大溪地梔子花油、海鹽、龍涎香、太陽能香調、皮革、喀什米爾木麝香、松樹、勞丹,,,,https://www.1976.com.tw/prod/18615
Emporio Armani Stronger With You Absolutely 男性淡香精,"4,080","2,950",50ml,蘭姆酒和來自法國的薰衣草調和，增強了精緻的陽剛氣息，並以令人難以抗拒的果香和利口酒香調為特色。 Stronger With You Absolutely 香水蘊含著溫暖的香草氣息，煙燻雪松木為這款強勁的香水增添了圓潤感。,木質東方調,蘭姆酒、欖香脂、佛手柑,薰衣草、印蒿,香草、栗子、雪松、廣藿香,https://www.1976.com.tw/prod/22129
Police To Be 態度男性淡香水,"2,280","1,000",125ml,前味有點嗆鼻的柑橘香，讓人精神振奮但很快就散去，輕甜帶著暖味的木質香開始出現，非常的迷人性感。,木質清新調,紫羅蘭葉、葡萄柚、黑胡椒,德州雪松木、蘋果花、埃及天竺葵,白琥珀、廣霍香、羊絨木,https://www.1976.com.tw/prod/10647
Paco Rabanne PARFUM 百萬極致男性香精 TESTER,"4,480","2,380",100ml 原廠環保紙盒包裝，內容與正貨相同,"金光閃閃的金條造型瓶身，
承襲百萬系列男香奢華風格之外，
更加濃郁的「報復性」極致誘惑要你加倍自信，強勢回歸！",晚香玉、大溪地梔子花油、海鹽、龍涎香、太陽能香調、皮革、喀什米爾木麝香、松樹、勞丹,,,,https://www.1976.com.tw/prod/21641
HUGO BOSS Jeans 丹寧男性淡香水,"2,300","1,212",75ml,這瓶就像陽光暖男所會散發出來的味道，像是男星許光漢站在大片落地窗前，外面陽光打在身上的那種舒服感，一定要來入手的。,木質清新調 、 柑橘清新調,葡萄柚、萊姆,薄荷、杜松子,檀香、香根草、雪松,https://www.1976.com.tw/prod/20692
Dunhill 極速競藍男性淡香精,"3,550","1,650",100ml,前面清爽俐落，雖然味道有著知名品牌影子，但是我很喜歡中後味，整體感表現辛辣陽剛，淡雅橙花獨特香氣配上溫潤的木質調賦予沉靜感，味道豐富不失沉穩，此外擴散比我想像中的好:D,木質調 、 柑橘調,佛手柑、四季橘、降龍涎香醚,芫荽、海鹽、橙花油、綠豆蔻,印度檀香、龍涎香、廣藿香、漂流木,https://www.1976.com.tw/prod/18933
Emporio Armani Stronger With You Tobacco 男性淡香精,"7,600","4,450",100ml,溫暖、辛辣和煙熏的限量版，Emporio Armani 的 Stronger With You Tobacco 是一款迷人的混合物，散發著溫暖、精緻和一絲放縱的氣息。菸草和潛在甜味之間的相互作用創造了光滑、舒適和略帶美食的口感。,東方調 、 辛辣調,粉紅胡椒、黑胡椒、小荳蔻、欖香脂、鼠尾草,菸草、肉桂葉、辣椒、板栗,香草、琥珀、癒創木、安息香,https://www.1976.com.tw/prod/22365
Hugo Superman 超人限量版男性淡香精,"3,650","2,450",125ml,感覺就像超人在清新的山間空氣中翱翔，或在炎熱的天氣裡享受涼爽的微風，香水1976強力推薦,醛、柑橘香調、莓果,,薄荷,廣藿香,https://www.1976.com.tw/prod/22820
Police To Be Camouflage 態度迷彩男性淡香水,"2,280","1,280",125ml,以迷彩和探險為收藏的主題，圍繞著森林的氛圍，噴上To Be Camouflage 態度迷彩後將讓你散發神秘而迷人的男人味。,東方調,檸檬、小荳蔻、薄荷、紅蘋果,臭氧、薰衣草、肉荳蔻、肉桂、大黃、紫羅蘭,香草、薰草、羊絨木、海地香根草、琥珀、橙花,https://www.1976.com.tw/prod/13253
Dunhill 極速躍紅男性淡香精,"3,550","1,499",100ml,開頭就是清淡的柑橘果香，幾分鐘後來了溫暖絲柏木木質香調與乳香，這不是一種常見的氣味，對我來說它聞起來優雅而性感，散發著非常強烈的男性魅力，迷人的零陵香豆與麝香會隨著時間越聞越好聞，是一款層次感豐富又神秘的香水，留香時間也很不錯:D,木質東方調,暖陽調、黑胡椒、葡萄柚、柑橘、苦橙葉,絲柏木、天竺葵、乳香、胡椒複方,琥珀、雪松、零陵香豆、麝香、苔蘚、岩蘭草,https://www.1976.com.tw/prod/18934
Emporio Armani he 男性淡香水(2024版),"3,500","1,976",100ml,外型設計非常的簡約洗煉，鐵灰色的瓶身象徵著男性的深度和堅忍，香氣走的仍是非常復古和經典的調性，一點也不輕佻，給人非常穩重但又不老氣的感覺，絕對不是單調的東方木質調，可能是柑橘的關係，讓整體還保有些清新的能量，但整體來說是讓人很舒服的。,,柚子,小荳蔻、白麝香,香根草,https://www.1976.com.tw/prod/22915
Coach 時尚經典男性淡香水,"1,850",960,40ml,這罐真的很好聞，雖然是男香，但女生噴一點也不突兀！絕對是款回頭率極高的香水,東方清新調 、 柑橘調 、 皮革香調 、 辛辣調,綠梨、佛手柑、金橘,荳蔻、香菜、天竺葵,海地香根草、麂皮皮革、琥珀萃取,https://www.1976.com.tw/prod/15463
Emporio Armani he 男性淡香水(2024版) TESTER,"3,500","1,680",100ml 原廠環保紙盒包裝，內容與正品相同,外型設計非常的簡約洗煉，鐵灰色的瓶身象徵著男性的深度和堅忍，香氣走的仍是非常復古和經典的調性，一點也不輕佻，給人非常穩重但又不老氣的感覺，絕對不是單調的東方木質調，可能是柑橘的關係，讓整體還保有些清新的能量，但整體來說是讓人很舒服的。,,柚子,小荳蔻、白麝香,香根草,https://www.1976.com.tw/prod/22897
Maison Margiela Jazz Club 爵士俱樂部淡香水,"2,800","1,699",30ml,菸草與香根草揉碎後撒在一片柔軟的皮革上，整體營造的香氣氛圍溫暖又自帶個性，上皮之後會持續飄散出朗姆酒與香草的甜氣，卻不會濃膩，反而在皮革的陽剛感中，透露出一點柔美氛圍，相當適合秋冬使用，整體擴香與持香能力也表現不錯。,東方調 、 皮革香調,粉紅胡椒、橙花、檸檬,朗姆酒、鼠尾草、爪哇香根草,菸葉、香草、苯乙烯屬,https://www.1976.com.tw/prod/18965
Montblanc Legend 萬寶龍 傳奇至尊男性淡香精,"3,700","1,680",100ml,萬寶龍傳奇淡香精是經典傳奇的夜香板本也不為過. 奶油美食調性融和皮革.應屬誘惑香氣..,木質花香調 、 皮革香調,佛手柑、紫羅蘭,木質調、茉莉、木蘭花,橡苔、皮革,https://www.1976.com.tw/prod/18466
YSL MYSLF 男性淡香精,"4,000","2,800",60ml,生命中最重要的相遇就是與自己的相遇。,木質花香調,佛手柑,橙花,龍涎香、廣藿香,https://www.1976.com.tw/prod/21342
Coach 時尚經典男性淡香水 TESTER,"3,500","1,350",100ml 原廠環保紙盒包裝，內容與正貨相同,聞起來感覺就像是一個穿著西裝的30~40歲暖男，斯文中帶點溫柔，給人一種容易親近的好感！非常好聞的香味，聞過很多香水，這味道很特別，是一種難忘的舒服感,東方清新調 、 柑橘調 、 辛辣調,綠梨、佛手柑、金橘,荳蔻、香菜、天竺葵,海地香根草、麂皮皮革、琥珀萃取,https://www.1976.com.tw/prod/15761
Montblanc Legend 傳奇至尊男性淡香精 TESTER,"3,700","1,380",100ml 原廠環保紙盒包裝，有瓶蓋,沈穩原木與淡雅白花的氣味，整體濃郁層次有如Dior Sauvage 與 D&amp;amp;G The One，清新暢快如Coach for Men，此香大勝傳奇EDT版本，不論是適用性、持續時間、價格、女生反應⋯，如果一生只能保留一瓶香水，我毫不猶豫會選擇它！,木質花香調 、 皮革香調,佛手柑、紫羅蘭,木質調、茉莉、木蘭花,橡苔、皮革,https://www.1976.com.tw/prod/19063
Mercedes Benz Man Intense 賓士極墨之星男性淡香水,"3,250","1,212",100ml,木質韻味深遠，持久度不錯，瓶身也很有質感。,木質調 、 辛辣調,黃葵、梨樹葉,天竺葵、橡木苔,琥珀、廣藿香、龍涎香醚,https://www.1976.com.tw/prod/18481
Prada Luna Rossa Sport 卓越非凡運動男性淡香水,"3,300","2,300",50ml,PRADA Luna Rossa Sport 卓越非凡男性淡香水，靈感來自於極限帆船賽事和美洲杯的挑戰。,東方清新調,薑、杜松子,薰衣草,香草、薰草豆,https://www.1976.com.tw/prod/14226
Dunhill Driven Blue 極限光速男性淡香水,"2,700","1,212",100ml,檸檬與青蘋果的味道撲鼻而來，略帶甜味的感覺，整體是香甜清新，適合夏天用，持香度約4~6小時，到後味慢慢變得溫和安心穩重花香，適合不浮誇or斯文的你:D,木質清新調,義大利檸檬、青蘋果、黑胡椒,杜松、橙花、鼠尾草,柚木、香根草、琥珀,https://www.1976.com.tw/prod/19549
Emporio Armani he 男性淡香水(2020版),"3,500","1,976",100ml,一種很經典、很復古的味道，帶點皮革絲綢感的木質調，絕對經典但較適合西裝熟男。,木質東方調,小荳蔻、鼠尾草、柚子,香根草,麝香、檀香、癒蒼木、雪松,https://www.1976.com.tw/prod/19921
